Treatment,initialworm_weight_mg,wormweightafter,initialdiet_g,dietweightafter,wormweight_difference,dietweight_difference,time_elapsed,percent_growth_rate_worm,percent_growth_rate_diet
control,1.818,0.482,4.20517,0.7859,-1.336,3.41927,3,-73.48734873,-81.31110038
control,2.046,6.575,5.32986,1.1755,4.529,4.15436,3,221.3587488,-77.94501169
control,0.716,1.268,4.71169,1.0145,0.552,3.69719,3,77.09497207,-78.46844763
control,2.261,4.956,4.76307,0.9175,2.695,3.84557,3,119.1950464,-80.7372136
control,1.69,5.157,5.543,1.109,3.467,4.434,3,205.147929,-79.99278369
control,1.578,2.01,4.47052,1.0039,0.432,3.46662,3,27.37642586,-77.54399936
control,1.48,3.919,6.06674,1.4192,2.439,4.64754,3,164.7972973,-76.60687618
control,2.094,4.533,4.26007,0.8074,2.439,3.45267,3,116.4756447,-81.04725979
control,1.817,2.33,3.938,0.7507,0.513,3.1873,3,28.23335168,-80.93702387
control,0.956,2.346,4.7114,0.9445,1.39,3.7669,3,145.3974895,-79.95288025
control,2.221,5.997,5.1834,1.2078,3.776,3.9756,3,170.0135074,-76.69869198
control,1.499,4.676,5.6717,1.2471,3.177,4.4246,3,211.9412942,-78.01188356
control,1.299,0.294,6.2007,1.3414,-1.005,4.8593,3,-77.36720554,-78.36695857
control,0.532,2.136,4.735,0.9316,1.604,3.8034,3,301.5037594,-80.32523759
control,0.713,1.371,5.785,1.3587,0.658,4.4263,3,92.28611501,-76.51339672
risk,2.04,2.712,4.356,1.0043,0.672,3.3517,3,32.94117647,-76.94444444
risk,1.719,4.069,5.7327,1.12,2.35,4.6127,3,136.707388,-80.46295812
risk,0.922,1.615,5.7494,1.3826,0.693,4.3668,3,75.1626898,-75.95227328
risk,2.363,9.705,6.734,1.8323,7.342,4.9017,3,310.7067287,-72.79031779
risk,2.26,3.897,4.4763,0.8581,1.637,3.6182,3,72.43362832,-80.8301499
risk,1.829,9.45,5.9862,1.445,7.621,4.5412,3,416.6757791,-75.86114731
risk,2.042,4.723,5.4836,1.2321,2.681,4.2515,3,131.2928501,-77.53118389
risk,1.67,2.67,4.845,0.9439,1,3.9011,3,59.88023952,-80.51805986
risk,1.966,7.212,6.6846,1.6348,5.246,5.0498,3,266.8362157,-75.54378721
risk,2.119,2.651,5.3659,1.125,0.532,4.2409,3,25.10618216,-79.03427198
risk,1.81,6.305,6.2068,1.4261,4.495,4.7807,3,248.3425414,-77.02358703
risk,1.421,5.113,4.9172,0.9625,3.692,3.9547,3,259.8170303,-80.42585211
